book_name,authors,prices
10 things i can see from here,Carrie Mac,945.25
100 ideas that changed street style,Jim Boulton,3277.5
100 ways to motivate others,Steve Chandler,755.25
1984 - george orwell,George Orwell,280.25
21 kesaris the untold story of the battle of saragarhi,Kiran Nirvan,755.25
29 dates,Melissa de La Cruz,1230.25
30-second literature,Ella Berthoud,1795.5
4.50 from paddington (miss marple),Agatha Christie,565.25
55 slightly sinister stories,Racha Mourtada,1705.5
9780141365411,Roald Dahl,850.25
99 days hardcover,Katie Cotugno,1040.25
99 nights in logar,Jamil Jan Kochai,1515.25
99 red balloons: a chillingly clever psychological thriller with a stomach-flipping twist,Elisabeth Carpenter,1567.5
a banquet of consequences,Elizabeth George,1472.5
a bend in the river,V.s. Naipaul,1255.5
a better man,Leah McLaren,997.5
a blueprint for love,Chatura Rao,375.25
a book of american martyrs,Joyce Carol Oates,945.25
a bookshop in algiers,Kaouther Adimi,2335.5
a bouquet of love,Ruskin Bond,375.25
a boy made of blocks: the most uplifting novel of 2017,Keith Stuart,1230.25
a child's garden of verses (penguin popular classics),Robert Louis Stevenson,190.0
a clash of kings,George R.R. Martin,1800.25
a clockwork orange -(pb),Anthony Burgess,1135.25
a conspiracy of faith department q,Jussi Adler-Olsen,2560.25
a conspiracy of friends corduroy mansions,Alexander Mccall Smith,755.25
"a country road, a tree: -",Jo Baker,2275.25
a court of wings and ruin,Sarah J. Maas,1135.25
a dangerous fortune,Ken Follett,1255.5
a dark and broken heart,R.J. Ellory,660.25
a day in the life of the brain,,1695.75
a dedicated man,Peter Robinson,1282.5
a degree of truth,Muriel Bolger,1075.5
a devil is waiting,Jack Higgins,902.5
a dictionary of mutual understanding a novel,Jackie Copleton,1420.25
a different kind of evil,Andrew Wilson,1780.75
a dog's heart (alma classics),,565.25
a dog's promise,W. Bruce Cameron,1185.75
a dog's way home: the heartwarming story of the special bond between man and dog,W. Bruce Cameron,850.25
a dreadful murder: the mysterious death of caroline luard,Minette Walters,142.5
a fabulous liar -,Susann Pasztor,1567.5
