book_name,authors,prices
2001: a space odyssey,arthur c. clarke,787
a banquet of consequences: a lynley novel,elizabeth george,397
a beautifully foolish endeavor: a novel (the carls),hank green,1611
a better man,louise penny,846
a brush with death: a bob skinner mystery (book 29),quintin jardine,437
a canticle for leibowitz,walter m. miller,1057
a child in burracombe: the burracombe village (book 12),lilian harry,219
a christmas message: christmas novella (book 14),anne perry,437
a christmas return (christmas novella 15),anne perry,387
a damned serious business,gerald seymour,787
a dark-adapted eye,barbara vine,437
a death at fountains abbey,antonia hodgson,787
a discovery of witches,deborah harkness,787
a discovery of witches,deborah harkness,787
a dog's life,michael holroyd,269
a dog's way home,w. bruce cameron,805
a dying fall: a dr ruth galloway mysteries,elly griffiths,877
a family recipe,veronica henry,697
a family recipe,veronica henry,697
a family scandal,kitty neale,487
a game for all the family,sophie hannah,437
a game of ghosts: a charlie parker thriller (book 15),john connolly,805
a game of ghosts: charlie parker (book 15),john connolly,697
a game of thrones leather-cloth boxed set (song of ice and fire series),george r.r. martin,7645
a girl of her time,margaret kaine,219
a girl of her time,margaret kaine,219
a handful of ashes: a dr harry kent thriller,rob mccarthy,437
a hero born: legends of the condor heroes volume 1,jin yong,437
a hero in france,alan furst,985
a hero in france,alan furst,985
a history of running away,paula mcgrath,294
a hundred small lessons,ashley hay,269
"a julyugust, september: calendar girl (volume 3)",audrey carlan,715
"a julyugust, september: calendar girl (volume 3)",audrey carlan,715
a killing moon: damen brook (book 5),steven dunne,537
a killing winter: an inspector akyl borubaev thriller (book 1),tom callaghan,437
a killing winter: an inspector akyl borubaev thriller (book 1),tom callaghan,437
a little hatred: the age of madness (book 1),joe abercrombie,985
a long night in paris,dov alfon,877
a lovely way to burn: plague times trilogy (book 1),louise welsh,448
a lovely way to burn: plague times trilogy (book 1),louise welsh,448
a maiden's grave,jeffery deaver,437
a map of the dark: searchers series (book 1),karen ellis,219
a map of the dark: searchers series (book 1),karen ellis,219
a measure of darkness,jonathan kellerman,437
a measure of darkness,jonathan kellerman,387
a people without a past: between three plagues volume 2,jaan kross,537
a perfect husband,hilary boyd,437
a perfectly good man,patrick gale,487
a place called winter,patrick gale,537
a question of trust,penny vincenzi,877
a quiet flame: a bernie gunther thriller,philip kerr,877
a room full of bones: a dr ruth galloway mysteries,elly griffiths,877
a royal pain: a royal spyness mystery,rhys bowen,537
a sea of gold: thomas kydd 21,julian stockwin,294
a seaside affair,fern britton,877
a second chance: the chronicles of st mary's (book 3),jodi taylor,787
a second chance: the chronicles of st mary's (book 3),jodi taylor,787
a second chance:chronicles of st mary series (book 3),jodi taylor,877
a shout in the ruins,kevin powers,537
a spring betrayal,tom callaghan,437
a spy's life,henry porter,437
a summer of murder: the black forest investigations (book 2),oliver bottini,537
a summer revenge: an inspector akyl borubaev thriller (book 3),tom callaghan,437
a tapping at my door: the ds nathan cody (book 1),david jackson,437
a tapping at my door: the ds nathan cody (book 1),david jackson,437
a thousand obolos coins (first edition),farzana aqib,900
a time of courage: of blood & bone (book 3),john gwynne,1611
a time of torment: a charlie parker thriller (book 14),john connolly,487
a time of torment: a charlie parker thriller (book 14),john connolly,487
a time of torment: the charlie parker series (book 14),john connolly,373
a time to die: the victor (book 6),tom wood,787
a time to remember,anna jacobs,219
a trail through time: the chronicles of st mary's (book 4),jodi taylor,787
a trail through time: the chronicles of st mary's (book 4),jodi taylor,787
a trick of the light: inspector mclevy series (book 3),david ashton,437
a trick of the light: inspector mclevy series (book 3),david ashton,437
a want of kindness: a queen anne novel,joanne limburg,219
a want of kindness: a queen anne novel,joanne limburg,219
a wedding at christmas,chrissie manby,219
a whole lotta love: florence love (book 3),louise lee,437
a winter beneath the stars,jo thomas,787
a woman is no man: a novel,etaf rum,985
a year and a day,isabelle broom,194
a year of marvellous ways,sarah winman,877
a year of marvellous ways,sarah winman,387
a you and melways,jill mansell,761
above,isla morley,269
accidental heroes,danielle steel,715
according to yes,dawn french,761
according to yes,dawn french,761
across a summer sea,lyn andrews,269
acts of omission,terry stiastny,219
acts of omission,terry stiastny,219
adult onset,ann-marie macdonald,437
after anna,alex lake,697
after she's gone,lisa jackson,437
after the end,clare mackintosh,1435
aftermath: star wars-journey to the force awakens (the aftermath trilogy book 1),chuck wendig,1031
aftermath: star wars-journey to the force awakens (the aftermath trilogy book 1),chuck wendig,1031
aftershock: pendulum trilogy (book 3),adam hamdy,437
alan stoob: nazi hunter,saul wordsworth,269
alex: camille verh¿ven (book 2),pierre lemaitre,437
all chained up: devil's rock series (book 1),sophie jordan,311
all i ever wanted,lucy dillon,423
all i ever wanted,lucy dillon,423
all rivers run,natasha carthew,419
all she ever wished for,claudia carroll,547
all summer with you,beth good,437
all that i leave behind,alison walsh,877
all the beautiful lies,peter swanson,1165
all the hidden truths,claire askew,537
all wound up: play-by-play (book 10),jaci burton,437
alley urchin: emma grady sagas series (book 2),josephine cox,219
almost love,louise o''neill,537
almost missed you,jessica strawer,437
alone on the wall: alex honnold and the ultimate limits of adventure,alex honnold,1507
alone on the wall: alex honnold and the ultimate limits of adventure,alex honnold,1507
altered carbon: takeshi kovacs series (book 1),richard morgan,985
altered carbon: takeshi kovacs series (book 1),richard morgan,985
always on my mind: lucky harbor (book 8),jill shalvis,437
always the bridesmaid,lindsey kelk,697
america city,chris beckett,437
america city,chris beckett,437
american dirt,jeanine cummins,1661
american gods,neil gaiman,787
american gods,neil gaiman,787
american spy: a novel,lauren wilkinson,888
amy snow,tracy rees,877
an act of silence,colette mcbeth,537
an almost perfect holiday,lucy diamond,846
an argumentation of historians: the chronicles of st mary's (book 9),jodi taylor,787
an impossible marriage,pamela hansford johnson,219
an ocean of minutes,thea lim,437
an ounce of hope: a pound of flesh novel (book 2),sophie jackson,269
anansi boys,neil gaiman,715
and so it begins: sergeant stephanie king (book 1),rachel abbott,877
and the rest is history: the chronicles of st mary's (book 8),jodi taylor,787
and then it happened,linda green,877
angel of storms: millennium rule series (book 2),trudi canavan,1075
angels & demons: robert langdon series (book 1),dan brown,761
angels & demons: robert langdon series (book 1),dan brown,761
"anne boleyn, a king's obsession: six tudor queens series (book 2)",alison weir,448
annihilation: mass effect andromeda series (book 3),catherynne m. valente,805
apocalypse now how: apocalypse now how series (book 1),charlie human,1147
appleby farm,cathy bramley,851
apprentice in death:death series (book 43),j. d. robb,941
"april, may, june: calendar girl (volume 2)",audrey carlan,715
"april, may, june: calendar girl (volume 2)",audrey carlan,715
archangel's heart: guild hunter series (book 9),nalini singh,967
artemis,andy weir,895
artful lies,jodi ellen malpas,1075
ask the fellows who cut the hay,george ewart evans,269
asking for it,louise o''neill,244
astra: the gaia chronicles book 1,naomi foyle,487
astroturf,matthew sperling,219
astroturf,matthew sperling,219
at the ruin of the world,john henry clay,437
at the water's edge,sara gruen,761
at the water's edge,sara gruen,761
atom bomb angel,peter james,437
auntie and the poldi sicilian lions,mario giordano,437
aurore: wars within series (book 2),graham hurley,805
aurore: wars within series (book 2),graham hurley,805
autumn thorns: whisper hollow series (book 1),yasmine galenorn,219
avengers: infinity prose novel: 3 (marvel original prose novels),james a. moore,985
baby boom!: all women all winging it,helen wallen,487
baby teeth: a novel,zoje stage,846
bad blood:tales of the notorious hudson family series (book 5),julie shaw,437
bad chili: a hap and leonard book 4,joe r. lansdale,219
bad soldier: danny black series (book 4),chris ryan,937
bad soldier: danny black series (book 4),chris ryan,337
badlands: cassie dewell (book 2),c.j. box,761
badlands: cassie dewell (book 2),c.j. box,761
bag of bones,stephen king,967
ball lightning,cixin liu,1525
baptism of fire: witcher series (book 3),andrzej sapkowski,1031
battle for rome: twilight of empire (book 3),ian ross,761
battle for rome: twilight of empire (book 3),ian ross,761
bay of sighs:guardians trilogy (book 2),nora roberts,805
beauchamp hall,danielle steel,761
beautiful tempest,johanna lindsey,895
beautiful tempest,johanna lindsey,895
before everything,victoria redel,437
before i say i do,vicki bradley,973
before the fall,noah hawley,895
before the fall,noah hawley,895
before the storm: world of warcraft,christie golden,851
before this is over,amanda hickie,437
before we were yours,lisa wingate,985
believe me,jp delaney,715
believe me,jp delaney,877
belle of the back streets,glenda young,244
belle of the back streets,glenda young,244
berlin red: inspector pekkala (book 7),sam eastland,487
betrayal,martina cole,537
between the lies,michelle adams,537
beyond the ice limit,douglas preston,805
beyond the ice limit,douglas preston,805
beyond the wild river,sarah maine,877
big sky:a jackson brodie novel,kate atkinson,985
bill: the galactic hero,harry harrison,219
binary: evolution (book 2),stephanie saulter,967
black lands,belinda bauer,715
black ops: danny black thriller book 7,chris ryan,851
black river,tom harper,437
black sunday,thomas harris,537
black water,louise doughty,715
blackwater: di nick lowry (book 1),james henry,437
blind sight: a mallory novel,carol o''connell,219
blind sight: a mallory novel,carol o''connell,219
blind water pass,anna metcalfe,537
blood & steel: throne of the caesars (book 2),harry sidebottom,761
blood and ink: elementary,adam christopher,487
blood communion: a tale of prince lestat (the vampire chronicles book 13),anne rice,941
blood cruise,mats strandberg,487
blood cruise,mats strandberg,487
blood daughter,dreda say mitchell,219
blood men,paul cleave,219
blood men,paul cleave,219
blood on snow,jo nesbo,581
blood orange,harriet tyce,941
blood reckoning: an inspector jack brady novel (book 4),danielle ramsay,437
blood sister: flesh and blood trilogy book (book 1),dreda say mitchell,397
blood sister: flesh and blood trilogy book (book 1),dreda say mitchell,397
blood sisters,jane corry,805
blood ties: tales of the notorious hudson family (book 4),julie shaw,437
blood truth: black dagger legacy (book 4),j.r. ward,985
blood truth: black dagger legacy (book 4),j.r. ward,985
blood wedding,pierre lemaitre,697
blood wedding,pierre lemaitre,787
blood's game: holcroft blood series (book 1),angus donald,715
bloodline: dci mark lapslie series (book 6),nigel mccrery,537
